date,demand,rrp,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,year,month,day,weekday,month_sin,month_cos,fr_RRP,rrp_rolling_7,demand_rolling_7,day_of_year,is_weekend,is_summer,min_temperature_rolling_7,max_temperature_rolling_7,solar_exposure_rolling_7,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,demand_lag1,demand_lag7,demand_lag30,rrp_lag1,rrp_lag7,rrp_lag30
2015-01-01,0.19930031470624088,0.1439450986220043,97319.24,1382.937923,2315.79,0.0,0.020833334,0.4694612827150617,1.2310304561755545,1.1610058998425061,0.0,-1.5214910663342935,5.086100770986707,2015,1,1,3,0.5,0.866025404,13.82937923,-1.2430801677641845,-0.2440980183699441,-1.7473628092644062,-0.6359258216325094,-0.6063959169037241,1.4896901778130496,0.7830159544130791,0.7140031775774873,3.429650127928504,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,-1.4948360376057692,-1.4932991697073408,99635.03,-1.2431813644402223,-1.2443179644955602,-1.2365110146714797
2015-01-04,0.2636613423395473,0.14041782242556047,104330.715,1349.049975,0.0,0.0,0.0,1.1977266202467067,0.25845785612296024,1.3650882849741819,4.2,-1.5214910663342935,-0.19661427192013722,2015,1,4,6,0.5,0.866025404,13.49049975,-1.2430801677641845,-0.2440980183699441,-1.717786015221701,1.5725104500912732,-0.6063959169037241,1.4896901778130496,0.7830159544130791,0.7140031775774873,3.429650127928504,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,-1.4948360376057692,-1.4932991697073408,99635.03,-1.2431813644402223,-1.2443179644955602,-1.2365110146714797
2015-01-05,0.4528302830725104,0.15006864882837484,118132.2,1441.76931,0.0,0.0,0.0,0.8821449739829937,0.36455668521960716,2.066621483864318,0.0,-1.5214910663342935,-0.19661427192013722,2015,1,5,0,0.5,0.866025404,14.4176931,-1.2430801677641845,-0.2440980183699441,-1.7079270838741327,-0.6359258216325094,-0.6063959169037241,1.4896901778130496,0.7830159544130791,0.7140031775774873,3.429650127928504,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,-1.1388527532510526,-1.4932991697073408,99635.03,-1.2614974719553458,-1.2443179644955602,-1.2365110146714797
2015-01-06,0.6247126877513884,0.1756646886180803,130672.485,1687.680664,0.0,0.0,0.0,1.537583777761474,1.0718822125305847,2.181417825500886,0.0,-1.5214910663342935,-0.19661427192013722,2015,1,6,1,0.5,0.866025404,16.87680664,-1.2430801677641845,-0.2440980183699441,-1.6980681525265642,-0.6359258216325094,-0.6063959169037241,1.4896901778130496,0.7830159544130791,0.7140031775774873,3.429650127928504,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,-0.09255216893324587,-1.4932991697073408,99635.03,-1.2113835698509532,-1.2443179644955602,-1.2365110146714797
2015-01-08,0.7801869322586952,0.2758163175009322,142015.655,2649.877272,0.0,0.0,0.0,2.8484613853184357,1.4609112525516224,-0.12726415630119864,19.4,-1.5214910663342935,-0.19661427192013722,2015,1,8,3,0.5,0.866025404,26.49877272,-1.2430801677641845,-0.2440980183699441,-1.6783502898314273,-0.6359258216325094,-0.6063959169037241,1.4896901778130496,0.7830159544130791,0.7140031775774873,3.429650127928504,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,0.8581359289788143,-1.4932991697073408,99635.03,-1.078470865928792,-1.2443179644955602,-1.2365110146714797
2015-01-09,0.5031185187911238,0.1936811451227398,121801.155,1860.771941,0.0,0.0,0.0,1.2462776427488163,-0.34276884209137043,-1.4537996596570926,1.2,-1.5214910663342935,-0.19661427192013722,2015,1,9,4,0.5,0.866025404,18.60771941,-1.2430801677641845,-0.2440980183699441,-1.668491358483859,-0.6359258216325094,-0.6063959169037241,1.4896901778130496,0.7830159544130791,0.7140031775774873,3.429650127928504,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,1.7180698707985687,-1.4932991697073408,99635.03,-0.5584129231222486,-1.2443179644955602,-1.2365110146714797
2015-01-10,0.246020426813786,0.11359985268120174,103043.66,1091.399053,0.0,0.0,0.0,0.542287816468226,0.3115072706712837,-1.1349209328888488,5.2,-1.5214910663342935,-0.19661427192013722,2015,1,10,5,0.5,0.866025404,10.91399053,-1.2430801677641845,-0.2440980183699441,-1.6586324271362907,1.5725104500912732,-0.6063959169037241,1.4896901778130496,0.7830159544130791,0.7140031775774873,3.429650127928504,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,0.1855939697131201,-1.4932991697073408,99635.03,-0.9849167079885703,-1.2443179644955602,-1.2365110146714797
2015-01-11,0.2024627283052567,0.10239668293413286,99865.755,983.7657369,0.0,0.0,0.0,1.0277980414893226,1.3371292852722012,1.96458029129848,0.0,-1.5214910663342935,-0.19661427192013722,2015,1,11,6,0.5,0.866025404,9.837657369,-1.2777212355393959,-0.2405887924251608,-1.6487734957887221,1.5725104500912732,-0.6063959169037241,1.5851817824578711,0.8021123078737857,0.8555063214607173,3.429650127928504,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,-1.2364253259524065,-1.4932991697073408,99635.03,-1.4007552986234784,-1.2443179644955602,-1.2365110146714797
2015-01-12,0.6327808344235075,0.18921199230794183,131261.125,1817.835009,0.0,0.0,0.0,1.1491755977445972,2.00908853621763,2.181417825500886,0.0,-1.5214910663342935,-0.19661427192013722,2015,1,12,0,0.5,0.866025404,18.17835009,-1.2370390069165567,0.16901091924741557,-1.6389145644411538,-0.6359258216325094,-0.6063959169037241,1.5768781646626693,1.1172021399754457,0.9992555469928877,3.429650127928504,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,-1.4773446080736043,-1.1374874101722956,99635.03,-1.4589300629938933,-1.2626467510317267,-1.2365110146714797
2015-01-13,0.5678978663422631,0.1546378844076278,126527.36,1485.667777,0.0,0.0,0.0,2.1444715590378447,1.0011496597994871,-1.3134930198790653,0.0,-1.5214910663342935,-0.19661427192013722,2015,1,13,1,0.5,0.866025404,14.85667777,-1.2332293983728542,0.29669761675574113,-1.6290556330935853,-0.6359258216325094,-0.6063959169037241,1.7927722273379167,1.2317802607396853,0.404043910023745,3.429650127928504,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,0.9027611541594983,-0.0916909689615809,99635.03,-1.0081237036697943,-1.2124981584114152,-1.2365110146714797
