date,demand,RRP,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday
2015-02-14,119692.03,20.24010323,119692.025,20.24010323,0.0,0.0,0.0,19.0,25.1,20.8,19.6,1,0
2015-02-15,125287.71,24.58418694,125287.71,24.58418694,0.0,0.0,0.0,18.2,34.4,25.7,0.4,1,0
2015-02-16,131832.63,31.9490406,131832.63,31.9490406,0.0,0.0,0.0,17.4,24.6,26.3,0.0,1,0
2015-02-17,127666.01,30.25014939,127666.01,30.25014939,0.0,0.0,0.0,17.6,20.6,8.3,0.0,1,0
2015-02-18,125972.77,30.23579275,125972.765,30.23579275,0.0,0.0,0.0,17.7,21.2,7.8,0.0,1,0
2015-02-19,139399.69,33.59896068,139399.69,33.59896068,0.0,0.0,0.0,18.2,26.9,24.7,0.0,1,0
2015-02-20,139465.67,33.53867153,139465.675,33.53867153,0.0,0.0,0.0,17.4,25.3,24.7,0.0,1,0
2015-02-21,136283.03,31.25281984,136283.03,31.25281984,0.0,0.0,0.0,18.1,36.1,20.0,0.0,1,0
2015-02-22,138016.35,32.40972721,138016.35,32.40972721,0.0,0.0,0.0,20.3,35.3,11.7,1.6,1,0
2015-02-23,135255.82,28.41722913,132597.755,32.03187565,2658.06,-151.9,0.020833334,21.1,29.3,4.7,0.0,1,0
2015-02-24,120263.51,26.5590119,120263.515,26.5590119,0.0,0.0,0.0,15.9,20.1,21.4,3.2,1,0
2015-02-25,130062.75,33.32324959,130062.755,33.32324959,0.0,0.0,0.0,14.0,27.0,24.1,0.0,1,0
2015-02-26,131525.85,39.08657834,131525.855,39.08657834,0.0,0.0,0.0,16.0,23.2,18.5,0.0,1,0
2015-02-27,131069.4,36.33901155,131069.4,36.33901155,0.0,0.0,0.0,14.8,24.3,21.7,0.0,1,0
2015-02-28,116275.73,25.14313073,116275.73,25.14313073,0.0,0.0,0.0,17.9,32.3,6.9,0.0,1,0
2015-03-01,103462.78,24.58614815,103462.78,24.58614815,0.0,0.0,0.0,15.2,20.8,23.3,15.8,1,0
2015-03-02,123301.84,33.16652623,123301.835,33.16652623,0.0,0.0,0.0,11.6,23.0,22.0,0.0,1,0
2015-03-03,126750.29,43.73945714,126750.29,43.73945714,0.0,0.0,0.0,15.5,22.7,21.2,0.0,1,0
2015-03-04,120764.18,37.25248391,120764.185,37.25248391,0.0,0.0,0.0,15.4,23.5,23.0,0.0,1,0
2015-03-05,114967.35,25.3228281,114967.345,25.3228281,0.0,0.0,0.0,12.6,18.6,22.5,0.8,1,0
2015-03-06,117053.75,27.75052169,117053.75,27.75052169,0.0,0.0,0.0,14.1,21.1,10.8,0.2,1,0
2015-03-07,108344.58,22.11321454,108344.575,22.11321454,0.0,0.0,0.0,15.4,22.6,10.8,0.2,1,0
2015-03-08,106348.78,20.57443413,106348.78,20.57443413,0.0,0.0,0.0,16.2,24.4,20.4,0.0,1,0
2015-03-09,108282.48,23.80806827,108282.48,23.80806827,0.0,0.0,0.0,14.4,23.8,18.6,0.0,1,1
2015-03-10,125828.53,31.76374918,125828.53,31.76374918,0.0,0.0,0.0,16.2,21.7,22.1,0.0,1,0
2015-03-11,124418.42,33.59649288,124418.415,33.59649288,0.0,0.0,0.0,11.2,23.8,22.3,0.0,1,0
2015-03-12,121683.65,26.04050589,121683.65,26.04050589,0.0,0.0,0.0,13.0,19.9,18.7,0.0,1,0
2015-03-13,120929.82,24.19536323,120929.815,24.19536323,0.0,0.0,0.0,14.4,20.4,21.2,0.0,1,0
2015-03-14,108738.82,17.39452956,108738.82,17.39452956,0.0,0.0,0.0,9.4,30.1,20.0,0.0,1,0
2015-03-15,100170.3,14.3730994,100170.295,14.3730994,0.0,0.0,0.0,13.1,18.3,17.5,2.2,1,0
2015-03-16,123787.08,22.66079993,123787.075,22.66079993,0.0,0.0,0.0,10.5,25.5,14.5,0.0,1,0
2015-03-17,125600.86,21.38556947,125600.86,21.38556947,0.0,0.0,0.0,13.0,26.2,4.8,0.0,1,0
2015-03-18,127975.82,24.43863773,127975.815,24.43863773,0.0,0.0,0.0,17.8,24.4,9.4,1.4,1,0
2015-03-19,128319.45,24.56824098,128319.45,24.56824098,0.0,0.0,0.0,16.5,33.5,15.1,0.0,1,0
2015-03-20,119491.32,24.06816285,119491.32,24.06816285,0.0,0.0,0.0,14.2,19.6,19.9,0.0,1,0
2015-03-21,106754.8,20.47371461,106754.8,20.47371461,0.0,0.0,0.0,11.9,22.7,20.8,0.0,1,0
2015-03-22,106555.03,18.91869559,106555.03,18.91869559,0.0,0.0,0.0,11.3,28.8,19.9,0.0,1,0
2015-03-23,122810.05,26.68562798,122810.05,26.68562798,0.0,0.0,0.0,13.6,27.0,3.9,0.0,1,0
2015-03-24,123234.93,34.05849946,123234.935,34.05849946,0.0,0.0,0.0,12.6,15.3,3.8,1.4,1,0
2015-03-25,122268.86,28.54875424,122268.86,28.54875424,0.0,0.0,0.0,13.0,20.4,13.8,0.4,1,0
